polymer_MW,LA/GA,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,drug/polymer,surfactant_concentration,surfactant_HLB,aqueous/organic,pH,solvent_polarity_index,particle_size,EE,LC,reference,small_molecule_name,surfactant_name,solvent
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,1.0,1.5,18.0,4.0,0,5.1,210.0,25.18,20.12,10.1016/j.nano.2009.10.004,sparfloxacin,PVA,acetone
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.5,1.5,18.0,4.0,0,5.1,198.0,44.83,18.31,10.1016/j.nano.2009.10.004,sparfloxacin,PVA,acetone
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.2,1.5,18.0,4.0,0,5.1,190.0,51.83,9.39,10.1016/j.nano.2009.10.004,sparfloxacin,PVA,acetone
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.1,1.5,18.0,4.0,0,5.1,181.0,86.6,7.97,10.1016/j.nano.2009.10.004,sparfloxacin,PVA,acetone
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.05,1.5,18.0,4.0,0,5.1,232.0,60.6,2.94,10.1016/j.nano.2009.10.004,sparfloxacin,PVA,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.029,0.2,20.5,4.0,0,5.1,214.0,82.0,2.29,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.143,0.2,20.5,4.0,0,5.1,211.0,88.0,11.17,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.85,20.5,6.0,0,5.1,176.0,77.0,18.77,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.029,0.85,20.5,2.0,0,5.1,194.0,81.0,2.26,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.2,20.5,4.0,0,5.1,190.0,82.0,19.74,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.5,0.85,20.5,4.0,0,5.1,148.0,84.0,29.58,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.85,20.5,2.0,0,5.1,169.0,82.0,19.74,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.086,0.85,20.5,4.0,0,5.1,183.0,84.0,6.72,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.017,0.85,20.5,4.0,0,5.1,286.0,87.0,1.43,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.143,1.5,20.5,4.0,0,5.1,180.0,86.0,10.94,10.1208/s12249-015-0294-0,diazepam,poloxamer407,acetone
