# PLGA Optimization Results
# Drug: paeonol
# Priority: ee
# Min EE: 25.0%
# Max Size: 500 nm
# Date: 2026-04-04 03:49:38
# Total formulations evaluated: 392
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,2.5,0.1,184.1,27.8,5.9,27.8
100000,4.0,0.1,211.7,27.8,5.9,27.8
75000,3.0,0.1,211.7,27.8,5.9,27.8
30000,3.0,0.1,211.7,27.8,5.9,27.8
75000,4.0,0.1,211.7,27.8,5.9,27.8
30000,2.5,0.1,184.1,27.8,5.9,27.8
10000,3.0,0.1,211.7,27.8,5.9,27.8
10000,2.5,0.1,184.1,27.8,5.9,27.8
100000,2.5,0.1,184.1,27.8,5.9,27.8
30000,4.0,0.1,211.7,27.8,5.9,27.8
100000,3.0,0.1,211.7,27.8,5.9,27.8
20000,4.0,0.1,211.7,27.8,5.9,27.8
20000,3.0,0.1,211.7,27.8,5.9,27.8
20000,2.5,0.1,184.1,27.8,5.9,27.8
10000,4.0,0.1,211.7,27.8,5.9,27.8
50000,4.0,0.1,211.7,27.8,5.9,27.8
50000,3.0,0.1,211.7,27.8,5.9,27.8
150000,2.5,0.1,184.1,27.8,5.9,27.8
150000,3.0,0.1,211.7,27.8,5.9,27.8
150000,4.0,0.1,211.7,27.8,5.9,27.8
75000,2.5,0.1,184.1,27.8,5.9,27.8
50000,1.0,0.1,171.1,27.5,6.3,27.48
50000,0.75,0.1,171.1,27.5,6.5,27.48
50000,0.5,0.1,171.1,27.5,6.5,27.48
10000,0.5,0.1,171.1,27.5,6.5,27.48
30000,1.5,0.1,171.2,27.5,6.0,27.48
50000,1.5,0.1,171.2,27.5,6.0,27.48
30000,0.75,0.1,171.1,27.5,6.5,27.48
30000,0.5,0.1,171.1,27.5,6.5,27.48
20000,1.5,0.1,171.2,27.5,6.0,27.48
20000,1.0,0.1,171.1,27.5,6.3,27.48
30000,1.0,0.1,171.1,27.5,6.3,27.48
75000,0.75,0.1,171.1,27.5,6.5,27.48
75000,0.5,0.1,171.1,27.5,6.5,27.48
100000,1.0,0.1,171.1,27.5,6.3,27.48
150000,1.5,0.1,171.2,27.5,6.0,27.48
10000,0.75,0.1,171.1,27.5,6.5,27.48
150000,1.0,0.1,171.1,27.5,6.3,27.48
150000,0.75,0.1,171.1,27.5,6.5,27.48
150000,0.5,0.1,171.1,27.5,6.5,27.48
10000,1.0,0.1,171.1,27.5,6.3,27.48
20000,0.5,0.1,171.1,27.5,6.5,27.48
100000,1.5,0.1,171.2,27.5,6.0,27.48
100000,0.75,0.1,171.1,27.5,6.5,27.48
100000,0.5,0.1,171.1,27.5,6.5,27.48
10000,1.5,0.1,171.2,27.5,6.0,27.48
75000,1.5,0.1,171.2,27.5,6.0,27.48
