# PLGA Optimization Results
# Drug: rivaroxaban
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:22:30
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
100000,1.5,0.4,177.8,61.5,11.6,55.81
20000,1.5,0.4,177.8,61.5,11.6,55.81
30000,1.5,0.4,177.8,61.5,11.6,55.81
150000,1.5,0.4,177.8,61.5,11.6,55.81
10000,1.5,0.4,177.8,61.5,11.6,55.81
50000,1.5,0.4,177.8,61.5,11.6,55.81
75000,1.5,0.4,177.8,61.5,11.6,55.81
75000,2.0,0.4,180.3,61.3,11.6,55.53
150000,2.0,0.4,180.3,61.3,11.6,55.53
100000,2.0,0.4,180.3,61.3,11.6,55.53
30000,2.0,0.4,180.3,61.3,11.6,55.53
20000,2.0,0.4,180.3,61.3,11.6,55.53
10000,2.0,0.4,180.3,61.3,11.6,55.53
50000,2.0,0.4,180.3,61.3,11.6,55.53
100000,1.5,0.35,177.5,61.9,11.0,55.39
10000,1.5,0.35,177.5,61.9,11.0,55.39
50000,1.5,0.35,177.5,61.9,11.0,55.39
75000,1.5,0.35,177.5,61.9,11.0,55.39
20000,1.5,0.35,177.5,61.9,11.0,55.39
30000,1.5,0.35,177.5,61.9,11.0,55.39
150000,1.5,0.35,177.5,61.9,11.0,55.39
50000,1.0,0.4,177.2,61.2,11.2,55.38
100000,1.0,0.4,177.2,61.2,11.2,55.38
75000,1.0,0.4,177.2,61.2,11.2,55.38
10000,1.0,0.4,177.2,61.2,11.2,55.38
30000,1.0,0.4,177.2,61.2,11.2,55.38
20000,1.0,0.4,177.2,61.2,11.2,55.38
150000,1.0,0.4,177.2,61.2,11.2,55.38
150000,2.5,0.4,184.8,61.3,11.5,55.15
30000,2.5,0.4,184.8,61.3,11.5,55.15
10000,2.5,0.4,184.8,61.3,11.5,55.15
50000,2.5,0.4,184.8,61.3,11.5,55.15
100000,2.5,0.4,184.8,61.3,11.5,55.15
75000,2.5,0.4,184.8,61.3,11.5,55.15
20000,2.5,0.4,184.8,61.3,11.5,55.15
75000,2.0,0.35,179.9,61.7,11.0,55.12
30000,2.0,0.35,179.9,61.7,11.0,55.12
20000,2.0,0.35,179.9,61.7,11.0,55.12
100000,2.0,0.35,179.9,61.7,11.0,55.12
10000,2.0,0.35,179.9,61.7,11.0,55.12
50000,2.0,0.35,179.9,61.7,11.0,55.12
150000,2.0,0.35,179.9,61.7,11.0,55.12
150000,1.5,0.3,177.7,61.7,10.7,55.04
20000,1.5,0.3,177.7,61.7,10.7,55.04
30000,1.5,0.3,177.7,61.7,10.7,55.04
50000,1.5,0.3,177.7,61.7,10.7,55.04
100000,1.5,0.3,177.7,61.7,10.7,55.04
75000,1.5,0.3,177.7,61.7,10.7,55.04
10000,1.5,0.3,177.7,61.7,10.7,55.04
50000,2.0,0.3,179.9,61.4,10.9,54.93
30000,2.0,0.3,179.9,61.4,10.9,54.93
150000,2.0,0.3,179.9,61.4,10.9,54.93
100000,2.0,0.3,179.9,61.4,10.9,54.93
20000,2.0,0.3,179.9,61.4,10.9,54.93
10000,2.0,0.3,179.9,61.4,10.9,54.93
75000,2.0,0.3,179.9,61.4,10.9,54.93
150000,1.0,0.35,176.9,61.5,10.6,54.89
10000,1.0,0.35,176.9,61.5,10.6,54.89
100000,1.0,0.35,176.9,61.5,10.6,54.89
75000,1.0,0.35,176.9,61.5,10.6,54.89
30000,1.0,0.35,176.9,61.5,10.6,54.89
20000,1.0,0.35,176.9,61.5,10.6,54.89
50000,1.0,0.35,176.9,61.5,10.6,54.89
30000,2.5,0.35,184.3,61.6,11.0,54.74
20000,2.5,0.35,184.3,61.6,11.0,54.74
100000,2.5,0.35,184.3,61.6,11.0,54.74
10000,2.5,0.35,184.3,61.6,11.0,54.74
150000,2.5,0.35,184.3,61.6,11.0,54.74
50000,2.5,0.35,184.3,61.6,11.0,54.74
75000,2.5,0.35,184.3,61.6,11.0,54.74
50000,0.75,0.4,177.2,59.1,11.2,54.72
75000,0.75,0.4,177.2,59.1,11.2,54.72
30000,0.75,0.4,177.2,59.1,11.2,54.72
150000,0.75,0.4,177.2,59.1,11.2,54.72
20000,0.75,0.4,177.2,59.1,11.2,54.72
10000,0.75,0.4,177.2,59.1,11.2,54.72
100000,0.75,0.4,177.2,59.1,11.2,54.72
50000,1.0,0.3,177.0,61.4,10.4,54.65
10000,1.0,0.3,177.0,61.4,10.4,54.65
75000,1.0,0.3,177.0,61.4,10.4,54.65
150000,1.0,0.3,177.0,61.4,10.4,54.65
100000,1.0,0.3,177.0,61.4,10.4,54.65
20000,1.0,0.3,177.0,61.4,10.4,54.65
30000,1.0,0.3,177.0,61.4,10.4,54.65
30000,2.5,0.3,184.3,61.3,10.9,54.53
50000,2.5,0.3,184.3,61.3,10.9,54.53
150000,2.5,0.3,184.3,61.3,10.9,54.53
20000,2.5,0.3,184.3,61.3,10.9,54.53
75000,2.5,0.3,184.3,61.3,10.9,54.53
10000,2.5,0.3,184.3,61.3,10.9,54.53
100000,2.5,0.3,184.3,61.3,10.9,54.53
100000,1.5,0.25,177.9,61.7,10.0,54.24
150000,0.75,0.35,176.9,59.5,10.5,54.24
50000,1.5,0.25,177.9,61.7,10.0,54.24
30000,1.5,0.25,177.9,61.7,10.0,54.24
100000,0.75,0.35,176.9,59.5,10.5,54.24
50000,0.75,0.35,176.9,59.5,10.5,54.24
30000,0.75,0.35,176.9,59.5,10.5,54.24
10000,0.75,0.35,176.9,59.5,10.5,54.24
75000,1.5,0.25,177.9,61.7,10.0,54.24
10000,1.5,0.25,177.9,61.7,10.0,54.24
150000,1.5,0.25,177.9,61.7,10.0,54.24
20000,0.75,0.35,176.9,59.5,10.5,54.24
75000,0.75,0.35,176.9,59.5,10.5,54.24
20000,1.5,0.25,177.9,61.7,10.0,54.24
150000,0.5,0.4,176.9,58.2,10.9,54.19
10000,0.5,0.4,176.9,58.2,10.9,54.19
30000,0.5,0.4,176.9,58.2,10.9,54.19
75000,0.5,0.4,176.9,58.2,10.9,54.19
20000,0.5,0.4,176.9,58.2,10.9,54.19
50000,0.5,0.4,176.9,58.2,10.9,54.19
100000,0.5,0.4,176.9,58.2,10.9,54.19
20000,2.0,0.25,180.0,61.5,10.1,54.18
75000,2.0,0.25,180.0,61.5,10.1,54.18
10000,2.0,0.25,180.0,61.5,10.1,54.18
50000,2.0,0.25,180.0,61.5,10.1,54.18
100000,2.0,0.25,180.0,61.5,10.1,54.18
30000,2.0,0.25,180.0,61.5,10.1,54.18
150000,2.0,0.25,180.0,61.5,10.1,54.18
30000,0.75,0.3,177.0,59.4,10.4,54.0
10000,0.75,0.3,177.0,59.4,10.4,54.0
100000,0.75,0.3,177.0,59.4,10.4,54.0
50000,0.75,0.3,177.0,59.4,10.4,54.0
75000,0.75,0.3,177.0,59.4,10.4,54.0
150000,0.75,0.3,177.0,59.4,10.4,54.0
20000,0.75,0.3,177.0,59.4,10.4,54.0
50000,1.0,0.25,177.2,61.4,9.7,53.96
30000,1.0,0.25,177.2,61.4,9.7,53.96
20000,1.0,0.25,177.2,61.4,9.7,53.96
100000,1.0,0.25,177.2,61.4,9.7,53.96
10000,1.0,0.25,177.2,61.4,9.7,53.96
75000,1.0,0.25,177.2,61.4,9.7,53.96
150000,1.0,0.25,177.2,61.4,9.7,53.96
30000,2.5,0.25,184.4,61.4,10.2,53.84
150000,2.5,0.25,184.4,61.4,10.2,53.84
10000,2.5,0.25,184.4,61.4,10.2,53.84
20000,2.5,0.25,184.4,61.4,10.2,53.84
100000,2.5,0.25,184.4,61.4,10.2,53.84
75000,2.5,0.25,184.4,61.4,10.2,53.84
50000,2.5,0.25,184.4,61.4,10.2,53.84
10000,0.5,0.35,176.6,58.6,10.3,53.71
50000,0.5,0.35,176.6,58.6,10.3,53.71
20000,0.5,0.35,176.6,58.6,10.3,53.71
75000,0.5,0.35,176.6,58.6,10.3,53.71
100000,0.5,0.35,176.6,58.6,10.3,53.71
30000,0.5,0.35,176.6,58.6,10.3,53.71
150000,0.5,0.35,176.6,58.6,10.3,53.71
20000,0.5,0.3,176.7,58.4,10.1,53.47
50000,0.5,0.3,176.7,58.4,10.1,53.47
10000,0.5,0.3,176.7,58.4,10.1,53.47
30000,0.5,0.3,176.7,58.4,10.1,53.47
150000,0.5,0.3,176.7,58.4,10.1,53.47
75000,0.5,0.3,176.7,58.4,10.1,53.47
100000,0.5,0.3,176.7,58.4,10.1,53.47
50000,4.0,0.4,207.8,61.7,11.5,53.37
100000,4.0,0.4,207.8,61.7,11.5,53.37
75000,4.0,0.4,207.8,61.7,11.5,53.37
30000,4.0,0.4,207.8,61.7,11.5,53.37
150000,4.0,0.4,207.8,61.7,11.5,53.37
10000,4.0,0.4,207.8,61.7,11.5,53.37
20000,4.0,0.4,207.8,61.7,11.5,53.37
50000,0.75,0.25,177.2,59.4,9.7,53.36
30000,0.75,0.25,177.2,59.4,9.7,53.36
150000,0.75,0.25,177.2,59.4,9.7,53.36
100000,0.75,0.25,177.2,59.4,9.7,53.36
75000,0.75,0.25,177.2,59.4,9.7,53.36
20000,0.75,0.25,177.2,59.4,9.7,53.36
10000,0.75,0.25,177.2,59.4,9.7,53.36
30000,3.0,0.4,207.8,61.5,11.5,53.31
10000,3.0,0.4,207.8,61.5,11.5,53.31
75000,3.0,0.4,207.8,61.5,11.5,53.31
100000,3.0,0.4,207.8,61.5,11.5,53.31
20000,3.0,0.4,207.8,61.5,11.5,53.31
150000,3.0,0.4,207.8,61.5,11.5,53.31
50000,3.0,0.4,207.8,61.5,11.5,53.31
150000,4.0,0.35,207.4,62.0,11.0,53.03
150000,1.5,0.2,178.7,62.3,8.6,53.03
20000,4.0,0.35,207.4,62.0,11.0,53.03
50000,1.5,0.2,178.7,62.3,8.6,53.03
10000,4.0,0.35,207.4,62.0,11.0,53.03
75000,4.0,0.35,207.4,62.0,11.0,53.03
75000,1.5,0.2,178.7,62.3,8.6,53.03
20000,1.5,0.2,178.7,62.3,8.6,53.03
100000,1.5,0.2,178.7,62.3,8.6,53.03
30000,4.0,0.35,207.4,62.0,11.0,53.03
30000,1.5,0.2,178.7,62.3,8.6,53.03
50000,4.0,0.35,207.4,62.0,11.0,53.03
10000,1.5,0.2,178.7,62.3,8.6,53.03
100000,4.0,0.35,207.4,62.0,11.0,53.03
75000,3.0,0.35,207.4,61.8,11.0,52.98
50000,3.0,0.35,207.4,61.8,11.0,52.98
30000,3.0,0.35,207.4,61.8,11.0,52.98
150000,3.0,0.35,207.4,61.8,11.0,52.98
20000,3.0,0.35,207.4,61.8,11.0,52.98
10000,3.0,0.35,207.4,61.8,11.0,52.98
100000,3.0,0.35,207.4,61.8,11.0,52.98
30000,2.0,0.2,180.7,62.0,8.8,52.95
150000,2.0,0.2,180.7,62.0,8.8,52.95
20000,2.0,0.2,180.7,62.0,8.8,52.95
50000,2.0,0.2,180.7,62.0,8.8,52.95
75000,2.0,0.2,180.7,62.0,8.8,52.95
10000,2.0,0.2,180.7,62.0,8.8,52.95
100000,2.0,0.2,180.7,62.0,8.8,52.95
20000,0.5,0.25,176.9,58.5,9.4,52.84
75000,0.5,0.25,176.9,58.5,9.4,52.84
30000,0.5,0.25,176.9,58.5,9.4,52.84
10000,0.5,0.25,176.9,58.5,9.4,52.84
50000,0.5,0.25,176.9,58.5,9.4,52.84
100000,0.5,0.25,176.9,58.5,9.4,52.84
150000,0.5,0.25,176.9,58.5,9.4,52.84
100000,1.0,0.2,178.0,61.9,8.4,52.76
75000,1.0,0.2,178.0,61.9,8.4,52.76
30000,1.0,0.2,178.0,61.9,8.4,52.76
150000,1.0,0.2,178.0,61.9,8.4,52.76
50000,1.0,0.2,178.0,61.9,8.4,52.76
20000,1.0,0.2,178.0,61.9,8.4,52.76
10000,1.0,0.2,178.0,61.9,8.4,52.76
30000,4.0,0.3,208.0,61.6,10.9,52.75
150000,4.0,0.3,208.0,61.6,10.9,52.75
50000,4.0,0.3,208.0,61.6,10.9,52.75
10000,4.0,0.3,208.0,61.6,10.9,52.75
100000,4.0,0.3,208.0,61.6,10.9,52.75
20000,4.0,0.3,208.0,61.6,10.9,52.75
75000,4.0,0.3,208.0,61.6,10.9,52.75
20000,3.0,0.3,208.0,61.4,10.9,52.7
50000,3.0,0.3,208.0,61.4,10.9,52.7
30000,3.0,0.3,208.0,61.4,10.9,52.7
150000,3.0,0.3,208.0,61.4,10.9,52.7
10000,3.0,0.3,208.0,61.4,10.9,52.7
100000,3.0,0.3,208.0,61.4,10.9,52.7
75000,3.0,0.3,208.0,61.4,10.9,52.7
30000,2.5,0.2,184.9,61.8,8.9,52.62
75000,2.5,0.2,184.9,61.8,8.9,52.62
50000,2.5,0.2,184.9,61.8,8.9,52.62
20000,2.5,0.2,184.9,61.8,8.9,52.62
10000,2.5,0.2,184.9,61.8,8.9,52.62
150000,2.5,0.2,184.9,61.8,8.9,52.62
100000,2.5,0.2,184.9,61.8,8.9,52.62
10000,1.5,0.15,179.4,62.8,7.8,52.26
30000,1.5,0.15,179.4,62.8,7.8,52.26
75000,1.5,0.15,179.4,62.8,7.8,52.26
100000,1.5,0.15,179.4,62.8,7.8,52.26
150000,1.5,0.15,179.4,62.8,7.8,52.26
20000,1.5,0.15,179.4,62.8,7.8,52.26
50000,1.5,0.15,179.4,62.8,7.8,52.26
75000,0.75,0.2,178.0,59.9,8.4,52.16
100000,0.75,0.2,178.0,59.9,8.4,52.16
10000,0.75,0.2,178.0,59.9,8.4,52.16
150000,0.75,0.2,178.0,59.9,8.4,52.16
20000,0.75,0.2,178.0,59.9,8.4,52.16
30000,0.75,0.2,178.0,59.9,8.4,52.16
50000,0.75,0.2,178.0,59.9,8.4,52.16
50000,2.0,0.15,181.3,62.5,7.9,52.13
20000,2.0,0.15,181.3,62.5,7.9,52.13
100000,2.0,0.15,181.3,62.5,7.9,52.13
10000,2.0,0.15,181.3,62.5,7.9,52.13
30000,2.0,0.15,181.3,62.5,7.9,52.13
75000,2.0,0.15,181.3,62.5,7.9,52.13
150000,2.0,0.15,181.3,62.5,7.9,52.13
100000,4.0,0.25,208.1,61.6,10.2,52.06
75000,4.0,0.25,208.1,61.6,10.2,52.06
20000,4.0,0.25,208.1,61.6,10.2,52.06
150000,4.0,0.25,208.1,61.6,10.2,52.06
10000,4.0,0.25,208.1,61.6,10.2,52.06
30000,4.0,0.25,208.1,61.6,10.2,52.06
50000,4.0,0.25,208.1,61.6,10.2,52.06
20000,1.0,0.15,178.7,62.8,7.5,52.05
75000,1.0,0.15,178.7,62.8,7.5,52.05
30000,1.0,0.15,178.7,62.8,7.5,52.05
10000,1.0,0.15,178.7,62.8,7.5,52.05
50000,1.0,0.15,178.7,62.8,7.5,52.05
100000,1.0,0.15,178.7,62.8,7.5,52.05
150000,1.0,0.15,178.7,62.8,7.5,52.05
10000,3.0,0.25,208.1,61.4,10.2,52.01
100000,3.0,0.25,208.1,61.4,10.2,52.01
30000,3.0,0.25,208.1,61.4,10.2,52.01
20000,3.0,0.25,208.1,61.4,10.2,52.01
75000,3.0,0.25,208.1,61.4,10.2,52.01
150000,3.0,0.25,208.1,61.4,10.2,52.01
50000,3.0,0.25,208.1,61.4,10.2,52.01
10000,2.5,0.15,184.7,62.4,7.9,51.88
30000,2.5,0.15,184.7,62.4,7.9,51.88
150000,2.5,0.15,184.7,62.4,7.9,51.88
20000,2.5,0.15,184.7,62.4,7.9,51.88
75000,2.5,0.15,184.7,62.4,7.9,51.88
50000,2.5,0.15,184.7,62.4,7.9,51.88
100000,2.5,0.15,184.7,62.4,7.9,51.88
150000,0.5,0.2,177.7,58.9,8.1,51.61
100000,0.5,0.2,177.7,58.9,8.1,51.61
30000,0.5,0.2,177.7,58.9,8.1,51.61
75000,0.5,0.2,177.7,58.9,8.1,51.61
10000,0.5,0.2,177.7,58.9,8.1,51.61
50000,0.5,0.2,177.7,58.9,8.1,51.61
20000,0.5,0.2,177.7,58.9,8.1,51.61
100000,0.75,0.15,178.7,61.1,7.5,51.54
50000,0.75,0.15,178.7,61.1,7.5,51.54
75000,0.75,0.15,178.7,61.1,7.5,51.54
30000,0.75,0.15,178.7,61.1,7.5,51.54
150000,0.75,0.15,178.7,61.1,7.5,51.54
10000,0.75,0.15,178.7,61.1,7.5,51.54
20000,0.75,0.15,178.7,61.1,7.5,51.54
10000,0.5,0.15,178.4,60.1,7.2,50.98
20000,0.5,0.15,178.4,60.1,7.2,50.98
50000,0.5,0.15,178.4,60.1,7.2,50.98
75000,0.5,0.15,178.4,60.1,7.2,50.98
30000,0.5,0.15,178.4,60.1,7.2,50.98
150000,0.5,0.15,178.4,60.1,7.2,50.98
100000,0.5,0.15,178.4,60.1,7.2,50.98
10000,1.5,0.1,181.3,62.6,6.5,50.74
30000,4.0,0.2,209.4,62.1,8.9,50.74
10000,4.0,0.2,209.4,62.1,8.9,50.74
150000,4.0,0.2,209.4,62.1,8.9,50.74
75000,1.5,0.1,181.3,62.6,6.5,50.74
100000,1.5,0.1,181.3,62.6,6.5,50.74
20000,1.5,0.1,181.3,62.6,6.5,50.74
20000,4.0,0.2,209.4,62.1,8.9,50.74
50000,4.0,0.2,209.4,62.1,8.9,50.74
30000,1.5,0.1,181.3,62.6,6.5,50.74
50000,1.5,0.1,181.3,62.6,6.5,50.74
100000,4.0,0.2,209.4,62.1,8.9,50.74
75000,4.0,0.2,209.4,62.1,8.9,50.74
150000,1.5,0.1,181.3,62.6,6.5,50.74
150000,3.0,0.2,209.4,61.9,8.9,50.69
75000,3.0,0.2,209.4,61.9,8.9,50.69
30000,3.0,0.2,209.4,61.9,8.9,50.69
50000,3.0,0.2,209.4,61.9,8.9,50.69
10000,3.0,0.2,209.4,61.9,8.9,50.69
100000,3.0,0.2,209.4,61.9,8.9,50.69
20000,3.0,0.2,209.4,61.9,8.9,50.69
75000,1.0,0.1,180.6,62.9,6.2,50.65
