# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
30000,2.5,0.25,161.4,31.0,9.3,67.72
150000,2.5,0.25,161.4,31.0,9.3,67.72
30000,2.5,0.3,161.4,31.1,10.3,67.72
100000,2.5,0.25,161.4,31.0,9.3,67.72
100000,2.5,0.3,161.4,31.1,10.3,67.72
150000,2.5,0.3,161.4,31.1,10.3,67.72
75000,2.5,0.3,161.4,31.1,10.3,67.72
75000,2.5,0.25,161.4,31.0,9.3,67.72
20000,2.5,0.25,161.4,31.0,9.3,67.72
10000,2.5,0.25,161.4,31.0,9.3,67.72
10000,2.5,0.3,161.4,31.1,10.3,67.72
20000,2.5,0.3,161.4,31.1,10.3,67.72
50000,2.5,0.25,161.4,31.0,9.3,67.72
50000,2.5,0.3,161.4,31.1,10.3,67.72
50000,2.5,0.35,162.0,31.3,10.5,67.61
100000,2.5,0.35,162.0,31.3,10.5,67.61
75000,2.5,0.35,162.0,31.3,10.5,67.61
30000,2.5,0.4,162.0,31.1,11.1,67.61
50000,2.5,0.4,162.0,31.1,11.1,67.61
10000,2.5,0.4,162.0,31.1,11.1,67.61
150000,2.5,0.35,162.0,31.3,10.5,67.61
75000,2.5,0.4,162.0,31.1,11.1,67.61
30000,2.5,0.35,162.0,31.3,10.5,67.61
20000,2.5,0.35,162.0,31.3,10.5,67.61
20000,2.5,0.4,162.0,31.1,11.1,67.61
150000,2.5,0.4,162.0,31.1,11.1,67.61
10000,2.5,0.35,162.0,31.3,10.5,67.61
100000,2.5,0.4,162.0,31.1,11.1,67.61
100000,2.5,0.2,162.0,31.3,8.5,67.6
150000,2.5,0.2,162.0,31.3,8.5,67.6
50000,2.5,0.2,162.0,31.3,8.5,67.6
75000,2.5,0.2,162.0,31.3,8.5,67.6
10000,2.5,0.2,162.0,31.3,8.5,67.6
20000,2.5,0.2,162.0,31.3,8.5,67.6
30000,2.5,0.2,162.0,31.3,8.5,67.6
10000,3.0,0.2,164.2,31.2,8.5,67.15
50000,3.0,0.2,164.2,31.2,8.5,67.15
30000,3.0,0.2,164.2,31.2,8.5,67.15
100000,3.0,0.2,164.2,31.2,8.5,67.15
75000,3.0,0.2,164.2,31.2,8.5,67.15
20000,3.0,0.2,164.2,31.2,8.5,67.15
150000,3.0,0.2,164.2,31.2,8.5,67.15
75000,3.0,0.15,164.7,33.5,8.5,67.06
100000,3.0,0.15,164.7,33.5,8.5,67.06
20000,3.0,0.15,164.7,33.5,8.5,67.06
30000,3.0,0.15,164.7,33.5,8.5,67.06
150000,3.0,0.15,164.7,33.5,8.5,67.06
10000,3.0,0.15,164.7,33.5,8.5,67.06
50000,3.0,0.15,164.7,33.5,8.5,67.06
75000,3.0,0.25,164.9,31.0,9.3,67.01
150000,3.0,0.25,164.9,31.0,9.3,67.01
20000,3.0,0.25,164.9,31.0,9.3,67.01
30000,3.0,0.25,164.9,31.0,9.3,67.01
50000,3.0,0.25,164.9,31.0,9.3,67.01
100000,3.0,0.25,164.9,31.0,9.3,67.01
10000,3.0,0.25,164.9,31.0,9.3,67.01
10000,3.0,0.35,165.5,31.2,10.4,66.9
150000,3.0,0.4,165.5,31.0,11.0,66.9
20000,3.0,0.4,165.5,31.0,11.0,66.9
75000,3.0,0.4,165.5,31.0,11.0,66.9
75000,3.0,0.35,165.5,31.2,10.4,66.9
150000,3.0,0.35,165.5,31.2,10.4,66.9
10000,3.0,0.4,165.5,31.0,11.0,66.9
30000,3.0,0.35,165.5,31.2,10.4,66.9
100000,3.0,0.4,165.5,31.0,11.0,66.9
50000,3.0,0.4,165.5,31.0,11.0,66.9
30000,3.0,0.4,165.5,31.0,11.0,66.9
50000,3.0,0.35,165.5,31.2,10.4,66.9
100000,3.0,0.35,165.5,31.2,10.4,66.9
20000,3.0,0.35,165.5,31.2,10.4,66.9
75000,3.0,0.3,165.8,31.0,10.2,66.84
150000,3.0,0.3,165.8,31.0,10.2,66.84
20000,3.0,0.3,165.8,31.0,10.2,66.84
100000,3.0,0.3,165.8,31.0,10.2,66.84
50000,3.0,0.3,165.8,31.0,10.2,66.84
10000,3.0,0.3,165.8,31.0,10.2,66.84
30000,3.0,0.3,165.8,31.0,10.2,66.84
100000,2.5,0.15,166.9,33.6,8.5,66.61
20000,2.5,0.15,166.9,33.6,8.5,66.61
