# PLGA Optimization Results
# Drug: tramadol
# Priority: balanced
# Min EE: 30%
# Max Size: 500 nm
# Date: 2026-04-05 20:40:19
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10000,0.75,0.4,150.6,56.5,18.0,62.94
20000,0.75,0.4,150.6,56.5,18.0,62.94
20000,1.0,0.4,150.6,56.5,18.0,62.94
10000,1.0,0.4,150.6,56.5,18.0,62.94
50000,0.75,0.4,150.6,56.5,18.0,62.91
30000,0.75,0.4,150.6,56.5,18.0,62.91
30000,1.0,0.4,150.6,56.5,18.0,62.91
50000,1.0,0.4,150.6,56.5,18.0,62.91
75000,0.75,0.4,150.6,56.5,18.0,62.91
75000,1.0,0.4,150.6,56.5,18.0,62.91
100000,0.75,0.4,150.6,56.5,18.0,62.91
100000,1.0,0.4,150.6,56.5,18.0,62.91
20000,0.5,0.4,151.7,56.5,18.1,62.91
150000,1.0,0.4,150.6,56.5,18.0,62.91
150000,0.75,0.4,150.6,56.5,18.0,62.91
10000,0.5,0.4,151.7,56.5,18.1,62.91
75000,0.5,0.4,151.7,56.5,18.1,62.88
30000,0.5,0.4,151.7,56.5,18.1,62.88
100000,0.5,0.4,151.7,56.5,18.1,62.88
50000,0.5,0.4,151.7,56.5,18.1,62.88
150000,0.5,0.4,151.7,56.5,18.1,62.88
20000,1.5,0.4,153.0,56.5,18.0,62.75
10000,1.5,0.4,153.0,56.5,18.0,62.75
75000,1.5,0.4,153.0,56.5,18.0,62.71
30000,1.5,0.4,153.0,56.5,18.0,62.71
150000,1.5,0.4,153.0,56.5,18.0,62.71
50000,1.5,0.4,153.0,56.5,18.0,62.71
100000,1.5,0.4,153.0,56.5,18.0,62.71
10000,2.0,0.4,153.8,56.5,18.0,62.63
20000,2.0,0.4,153.8,56.5,18.0,62.63
75000,2.0,0.4,153.8,56.5,18.0,62.6
100000,2.0,0.4,153.8,56.5,18.0,62.6
150000,2.0,0.4,153.8,56.5,18.0,62.6
30000,2.0,0.4,153.8,56.5,18.0,62.6
50000,2.0,0.4,153.8,56.5,18.0,62.6
20000,2.5,0.4,161.7,57.2,18.2,62.44
10000,2.5,0.4,161.7,57.2,18.2,62.44
30000,2.5,0.4,161.7,57.1,18.2,62.41
75000,2.5,0.4,161.7,57.1,18.2,62.41
100000,2.5,0.4,161.7,57.1,18.2,62.41
50000,2.5,0.4,161.7,57.1,18.2,62.41
150000,2.5,0.4,161.7,57.1,18.2,62.41
20000,1.0,0.35,149.3,56.7,15.5,60.56
10000,0.75,0.35,149.3,56.7,15.5,60.56
20000,0.75,0.35,149.3,56.7,15.5,60.56
10000,1.0,0.35,149.3,56.7,15.5,60.56
10000,0.5,0.35,150.4,56.7,15.6,60.53
20000,0.5,0.35,150.4,56.7,15.6,60.53
30000,1.0,0.35,149.3,56.6,15.5,60.52
30000,0.75,0.35,149.3,56.6,15.5,60.52
30000,0.5,0.35,150.4,56.6,15.5,60.5
50000,0.75,0.35,149.3,56.6,15.4,60.46
50000,1.0,0.35,149.3,56.6,15.4,60.46
150000,1.0,0.35,149.3,56.6,15.4,60.46
100000,0.75,0.35,149.3,56.6,15.4,60.46
75000,0.75,0.35,149.3,56.6,15.4,60.46
150000,0.75,0.35,149.3,56.6,15.4,60.46
75000,1.0,0.35,149.3,56.6,15.4,60.46
100000,1.0,0.35,149.3,56.6,15.4,60.46
100000,0.5,0.35,150.4,56.6,15.5,60.44
50000,0.5,0.35,150.4,56.6,15.5,60.44
75000,0.5,0.35,150.4,56.6,15.5,60.44
150000,0.5,0.35,150.4,56.6,15.5,60.44
20000,1.5,0.35,151.8,56.7,15.5,60.37
10000,1.5,0.35,151.8,56.7,15.5,60.37
30000,1.5,0.35,151.8,56.6,15.5,60.33
20000,2.0,0.35,152.5,56.7,15.5,60.27
75000,1.5,0.35,151.8,56.6,15.4,60.27
50000,1.5,0.35,151.8,56.6,15.4,60.27
100000,1.5,0.35,151.8,56.6,15.4,60.27
150000,1.5,0.35,151.8,56.6,15.4,60.27
10000,2.0,0.35,152.5,56.7,15.5,60.27
20000,1.0,0.3,149.3,56.5,15.2,60.24
30000,2.0,0.35,152.5,56.6,15.4,60.24
20000,0.75,0.3,149.3,56.5,15.2,60.24
10000,1.0,0.3,149.3,56.5,15.2,60.24
10000,0.75,0.3,149.3,56.5,15.2,60.24
20000,0.5,0.3,150.4,56.5,15.3,60.21
10000,0.5,0.3,150.4,56.5,15.3,60.21
30000,0.75,0.3,149.3,56.4,15.2,60.2
30000,1.0,0.3,149.3,56.4,15.2,60.2
75000,2.0,0.35,152.5,56.6,15.4,60.18
100000,2.0,0.35,152.5,56.6,15.4,60.18
50000,2.0,0.35,152.5,56.6,15.4,60.18
150000,2.0,0.35,152.5,56.6,15.4,60.18
30000,0.5,0.3,150.4,56.4,15.3,60.17
100000,0.75,0.3,149.3,56.4,15.2,60.16
50000,0.75,0.3,149.3,56.4,15.2,60.16
150000,1.0,0.3,149.3,56.4,15.2,60.16
100000,1.0,0.3,149.3,56.4,15.2,60.16
50000,1.0,0.3,149.3,56.4,15.2,60.16
150000,0.75,0.3,149.3,56.4,15.2,60.16
75000,1.0,0.3,149.3,56.4,15.2,60.16
75000,0.75,0.3,149.3,56.4,15.2,60.16
150000,0.5,0.3,150.4,56.4,15.2,60.14
100000,0.5,0.3,150.4,56.4,15.2,60.14
75000,0.5,0.3,150.4,56.4,15.2,60.14
50000,0.5,0.3,150.4,56.4,15.2,60.14
10000,1.5,0.3,151.8,56.5,15.2,60.04
20000,1.5,0.3,151.8,56.5,15.2,60.04
10000,2.5,0.35,160.1,57.2,15.7,60.03
20000,2.5,0.35,160.1,57.2,15.7,60.03
30000,1.5,0.3,151.8,56.4,15.2,60.01
30000,2.5,0.35,160.1,57.2,15.6,60.0
50000,1.5,0.3,151.8,56.4,15.2,59.97
75000,1.5,0.3,151.8,56.4,15.2,59.97
100000,1.5,0.3,151.8,56.4,15.2,59.97
150000,1.5,0.3,151.8,56.4,15.2,59.97
50000,2.5,0.35,160.1,57.2,15.6,59.94
150000,2.5,0.35,160.1,57.2,15.6,59.94
100000,2.5,0.35,160.1,57.2,15.6,59.94
75000,2.5,0.35,160.1,57.2,15.6,59.94
10000,2.0,0.3,152.5,56.4,15.2,59.93
20000,2.0,0.3,152.5,56.4,15.2,59.93
30000,2.0,0.3,152.5,56.4,15.2,59.9
100000,2.0,0.3,152.5,56.4,15.1,59.86
150000,2.0,0.3,152.5,56.4,15.1,59.86
75000,2.0,0.3,152.5,56.4,15.1,59.86
50000,2.0,0.3,152.5,56.4,15.1,59.86
20000,2.5,0.3,159.9,57.0,15.3,59.63
10000,2.5,0.3,159.9,57.0,15.3,59.63
30000,2.5,0.3,159.9,56.9,15.3,59.59
150000,2.5,0.3,159.9,56.9,15.3,59.56
75000,2.5,0.3,159.9,56.9,15.3,59.56
50000,2.5,0.3,159.9,56.9,15.3,59.56
100000,2.5,0.3,159.9,56.9,15.3,59.56
10000,4.0,0.4,204.9,57.2,18.2,58.99
20000,4.0,0.4,204.9,57.2,18.2,58.99
20000,3.0,0.4,204.9,57.2,18.2,58.99
10000,3.0,0.4,204.9,57.2,18.2,58.99
50000,3.0,0.4,204.9,57.1,18.2,58.96
75000,4.0,0.4,204.9,57.1,18.2,58.96
30000,4.0,0.4,204.9,57.1,18.2,58.96
30000,3.0,0.4,204.9,57.1,18.2,58.96
100000,4.0,0.4,204.9,57.1,18.2,58.96
100000,3.0,0.4,204.9,57.1,18.2,58.96
50000,4.0,0.4,204.9,57.1,18.2,58.96
75000,3.0,0.4,204.9,57.1,18.2,58.96
150000,4.0,0.4,204.9,57.1,18.2,58.96
150000,3.0,0.4,204.9,57.1,18.2,58.96
10000,0.75,0.25,151.6,56.7,13.0,57.83
20000,0.75,0.25,151.6,56.7,13.0,57.83
10000,1.0,0.25,151.6,56.7,13.0,57.83
20000,1.0,0.25,151.6,56.7,13.0,57.83
30000,0.75,0.25,151.6,56.6,13.0,57.82
30000,1.0,0.25,151.6,56.6,13.0,57.82
75000,1.0,0.25,151.6,56.6,12.9,57.8
100000,0.75,0.25,151.6,56.6,12.9,57.8
150000,0.75,0.25,151.6,56.6,12.9,57.8
50000,1.0,0.25,151.6,56.6,12.9,57.8
100000,1.0,0.25,151.6,56.6,12.9,57.8
150000,1.0,0.25,151.6,56.6,12.9,57.8
50000,0.75,0.25,151.6,56.6,12.9,57.8
75000,0.75,0.25,151.6,56.6,12.9,57.8
20000,0.5,0.25,153.5,56.7,13.0,57.68
10000,0.5,0.25,153.5,56.7,13.0,57.68
30000,0.5,0.25,153.5,56.6,13.0,57.67
100000,0.5,0.25,153.5,56.6,12.9,57.64
10000,1.5,0.25,154.0,56.7,13.0,57.64
50000,0.5,0.25,153.5,56.6,12.9,57.64
75000,0.5,0.25,153.5,56.6,12.9,57.64
20000,1.5,0.25,154.0,56.7,13.0,57.64
150000,0.5,0.25,153.5,56.6,12.9,57.64
30000,1.5,0.25,154.0,56.6,13.0,57.63
50000,1.5,0.25,154.0,56.6,12.9,57.6
75000,1.5,0.25,154.0,56.6,12.9,57.6
100000,1.5,0.25,154.0,56.6,12.9,57.6
150000,1.5,0.25,154.0,56.6,12.9,57.6
20000,2.0,0.25,154.7,56.6,13.0,57.58
10000,2.0,0.25,154.7,56.6,13.0,57.58
30000,2.0,0.25,154.7,56.6,13.0,57.57
75000,2.0,0.25,154.7,56.6,12.9,57.54
50000,2.0,0.25,154.7,56.6,12.9,57.54
100000,2.0,0.25,154.7,56.6,12.9,57.54
150000,2.0,0.25,154.7,56.6,12.9,57.54
20000,2.5,0.25,162.1,57.2,13.0,57.16
10000,2.5,0.25,162.1,57.2,13.0,57.16
30000,2.5,0.25,162.1,57.2,13.0,57.15
75000,2.5,0.25,162.1,57.2,12.9,57.12
150000,2.5,0.25,162.1,57.2,12.9,57.12
50000,2.5,0.25,162.1,57.2,12.9,57.12
100000,2.5,0.25,162.1,57.2,12.9,57.12
20000,1.0,0.15,154.8,62.8,10.4,56.84
10000,1.0,0.15,154.8,62.8,10.4,56.84
20000,0.75,0.15,154.8,62.8,10.4,56.84
10000,0.75,0.15,154.8,62.8,10.4,56.84
50000,1.0,0.15,154.8,62.7,10.4,56.83
75000,0.75,0.15,154.8,62.7,10.4,56.83
50000,0.75,0.15,154.8,62.7,10.4,56.83
150000,0.75,0.15,154.8,62.7,10.4,56.83
30000,0.75,0.15,154.8,62.7,10.4,56.83
100000,0.75,0.15,154.8,62.7,10.4,56.83
75000,1.0,0.15,154.8,62.7,10.4,56.83
100000,1.0,0.15,154.8,62.7,10.4,56.83
150000,1.0,0.15,154.8,62.7,10.4,56.83
30000,1.0,0.15,154.8,62.7,10.4,56.83
10000,1.5,0.15,155.8,62.8,10.4,56.76
20000,1.5,0.15,155.8,62.8,10.4,56.76
50000,1.5,0.15,155.8,62.7,10.4,56.75
150000,1.5,0.15,155.8,62.7,10.4,56.75
100000,1.5,0.15,155.8,62.7,10.4,56.75
75000,1.5,0.15,155.8,62.7,10.4,56.75
30000,1.5,0.15,155.8,62.7,10.4,56.75
10000,0.5,0.15,156.4,62.8,10.4,56.71
20000,0.5,0.15,156.4,62.8,10.4,56.71
30000,0.5,0.15,156.4,62.7,10.4,56.7
150000,0.5,0.15,156.4,62.7,10.4,56.7
50000,0.5,0.15,156.4,62.7,10.4,56.7
75000,0.5,0.15,156.4,62.7,10.4,56.7
100000,0.5,0.15,156.4,62.7,10.4,56.7
10000,2.0,0.15,156.4,62.7,10.4,56.68
20000,2.0,0.15,156.4,62.7,10.4,56.68
100000,2.0,0.15,156.4,62.7,10.4,56.67
50000,2.0,0.15,156.4,62.7,10.4,56.67
30000,2.0,0.15,156.4,62.7,10.4,56.67
150000,2.0,0.15,156.4,62.7,10.4,56.67
75000,2.0,0.15,156.4,62.7,10.4,56.67
20000,4.0,0.35,203.8,57.2,15.7,56.54
10000,4.0,0.35,203.8,57.2,15.7,56.54
20000,3.0,0.35,203.8,57.2,15.7,56.54
10000,3.0,0.35,203.8,57.2,15.7,56.54
30000,3.0,0.35,203.8,57.2,15.6,56.5
30000,4.0,0.35,203.8,57.2,15.6,56.5
100000,4.0,0.35,203.8,57.2,15.6,56.44
150000,4.0,0.35,203.8,57.2,15.6,56.44
75000,4.0,0.35,203.8,57.2,15.6,56.44
50000,3.0,0.35,203.8,57.2,15.6,56.44
150000,3.0,0.35,203.8,57.2,15.6,56.44
100000,3.0,0.35,203.8,57.2,15.6,56.44
75000,3.0,0.35,203.8,57.2,15.6,56.44
50000,4.0,0.35,203.8,57.2,15.6,56.44
10000,4.0,0.3,202.4,57.0,15.3,56.23
20000,4.0,0.3,202.4,57.0,15.3,56.23
10000,3.0,0.3,202.4,57.0,15.3,56.23
20000,3.0,0.3,202.4,57.0,15.3,56.23
30000,3.0,0.3,202.4,56.9,15.3,56.2
30000,4.0,0.3,202.4,56.9,15.3,56.2
20000,2.5,0.15,163.3,62.9,10.4,56.17
10000,2.5,0.15,163.3,62.9,10.4,56.17
50000,4.0,0.3,202.4,56.9,15.3,56.16
50000,3.0,0.3,202.4,56.9,15.3,56.16
100000,4.0,0.3,202.4,56.9,15.3,56.16
150000,4.0,0.3,202.4,56.9,15.3,56.16
100000,3.0,0.3,202.4,56.9,15.3,56.16
30000,2.5,0.15,163.3,62.9,10.4,56.16
50000,2.5,0.15,163.3,62.9,10.4,56.16
150000,2.5,0.15,163.3,62.9,10.4,56.16
150000,3.0,0.3,202.4,56.9,15.3,56.16
75000,2.5,0.15,163.3,62.9,10.4,56.16
75000,3.0,0.3,202.4,56.9,15.3,56.16
100000,2.5,0.15,163.3,62.9,10.4,56.16
75000,4.0,0.3,202.4,56.9,15.3,56.16
10000,0.75,0.2,151.4,56.5,10.5,55.29
20000,1.0,0.2,151.4,56.5,10.5,55.29
20000,0.75,0.2,151.4,56.5,10.5,55.29
10000,1.0,0.2,151.4,56.5,10.5,55.29
100000,0.75,0.2,151.4,56.4,10.5,55.28
75000,1.0,0.2,151.4,56.4,10.5,55.28
75000,0.75,0.2,151.4,56.4,10.5,55.28
100000,1.0,0.2,151.4,56.4,10.5,55.28
30000,0.75,0.2,151.4,56.4,10.5,55.28
50000,0.75,0.2,151.4,56.4,10.5,55.28
50000,1.0,0.2,151.4,56.4,10.5,55.28
150000,1.0,0.2,151.4,56.4,10.5,55.28
150000,0.75,0.2,151.4,56.4,10.5,55.28
30000,1.0,0.2,151.4,56.4,10.5,55.28
10000,1.5,0.2,152.8,56.5,10.5,55.18
20000,1.5,0.2,152.8,56.5,10.5,55.18
100000,1.5,0.2,152.8,56.4,10.5,55.17
50000,1.5,0.2,152.8,56.4,10.5,55.17
75000,1.5,0.2,152.8,56.4,10.5,55.17
30000,1.5,0.2,152.8,56.4,10.5,55.17
150000,1.5,0.2,152.8,56.4,10.5,55.17
10000,0.5,0.2,153.5,56.5,10.5,55.13
20000,0.5,0.2,153.5,56.5,10.5,55.13
50000,0.5,0.2,153.5,56.4,10.5,55.11
150000,0.5,0.2,153.5,56.4,10.5,55.11
10000,2.0,0.2,153.6,56.4,10.5,55.11
30000,0.5,0.2,153.5,56.4,10.5,55.11
20000,2.0,0.2,153.6,56.4,10.5,55.11
100000,0.5,0.2,153.5,56.4,10.5,55.11
75000,0.5,0.2,153.5,56.4,10.5,55.11
30000,2.0,0.2,153.6,56.4,10.5,55.09
75000,2.0,0.2,153.6,56.4,10.5,55.09
100000,2.0,0.2,153.6,56.4,10.5,55.09
50000,2.0,0.2,153.6,56.4,10.5,55.09
150000,2.0,0.2,153.6,56.4,10.5,55.09
10000,2.5,0.2,161.2,57.0,10.4,54.63
20000,2.5,0.2,161.2,57.0,10.4,54.63
75000,2.5,0.2,161.2,57.0,10.4,54.62
150000,2.5,0.2,161.2,57.0,10.4,54.62
30000,2.5,0.2,161.2,57.0,10.4,54.62
50000,2.5,0.2,161.2,57.0,10.4,54.62
100000,2.5,0.2,161.2,57.0,10.4,54.62
20000,1.0,0.1,157.4,64.0,7.7,54.28
10000,0.75,0.1,157.4,64.0,7.7,54.28
10000,1.0,0.1,157.4,64.0,7.7,54.28
20000,0.75,0.1,157.4,64.0,7.7,54.28
20000,4.0,0.15,187.8,62.9,10.4,54.21
10000,3.0,0.15,187.8,62.9,10.4,54.21
20000,3.0,0.15,187.8,62.9,10.4,54.21
10000,4.0,0.15,187.8,62.9,10.4,54.21
20000,1.5,0.1,158.4,64.0,7.7,54.2
50000,3.0,0.15,187.8,62.9,10.4,54.2
50000,4.0,0.15,187.8,62.9,10.4,54.2
75000,4.0,0.15,187.8,62.9,10.4,54.2
30000,3.0,0.15,187.8,62.9,10.4,54.2
150000,4.0,0.15,187.8,62.9,10.4,54.2
30000,4.0,0.15,187.8,62.9,10.4,54.2
150000,3.0,0.15,187.8,62.9,10.4,54.2
100000,3.0,0.15,187.8,62.9,10.4,54.2
75000,3.0,0.15,187.8,62.9,10.4,54.2
100000,4.0,0.15,187.8,62.9,10.4,54.2
10000,1.5,0.1,158.4,64.0,7.7,54.2
20000,2.0,0.1,158.9,63.9,7.7,54.17
10000,2.0,0.1,158.9,63.9,7.7,54.17
10000,0.5,0.1,158.9,64.0,7.7,54.16
20000,0.5,0.1,158.9,64.0,7.7,54.16
30000,1.0,0.1,157.4,63.7,7.6,54.13
30000,0.75,0.1,157.4,63.7,7.6,54.13
50000,0.75,0.1,157.4,63.7,7.6,54.13
75000,0.75,0.1,157.4,63.7,7.6,54.13
75000,1.0,0.1,157.4,63.7,7.6,54.13
50000,1.0,0.1,157.4,63.7,7.6,54.13
30000,1.5,0.1,158.4,63.7,7.6,54.04
75000,1.5,0.1,158.4,63.7,7.6,54.04
50000,1.5,0.1,158.4,63.7,7.6,54.04
30000,2.0,0.1,158.9,63.6,7.6,54.03
50000,2.0,0.1,158.9,63.6,7.6,54.03
75000,2.0,0.1,158.9,63.6,7.6,54.03
100000,1.0,0.1,157.4,63.7,7.5,54.01
150000,1.0,0.1,157.4,63.7,7.5,54.01
75000,0.5,0.1,158.9,63.7,7.6,54.01
50000,0.5,0.1,158.9,63.7,7.6,54.01
100000,0.75,0.1,157.4,63.7,7.5,54.01
30000,0.5,0.1,158.9,63.7,7.6,54.01
150000,0.75,0.1,157.4,63.7,7.5,54.01
