# PLGA Optimization Results
# Drug: tramadol
# Priority: balanced
# Min EE: 30.0%
# Max Size: 200.0 nm
# Date: 2026-04-06 08:45:18
# Total formulations evaluated: 427
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150000,1.5,0.4,160.3,46.8,12.2,53.44
20000,1.5,0.4,160.3,46.8,12.2,53.44
100000,1.5,0.4,160.3,46.8,12.2,53.44
30000,1.5,0.4,160.3,46.8,12.2,53.44
75000,1.5,0.4,160.3,46.8,12.2,53.44
50000,1.5,0.4,160.3,46.8,12.2,53.44
10000,1.5,0.4,160.3,46.8,12.2,53.44
50000,1.5,0.35,159.5,46.2,12.0,53.15
20000,1.5,0.35,159.5,46.2,12.0,53.15
100000,1.5,0.35,159.5,46.2,12.0,53.15
30000,1.5,0.35,159.5,46.2,12.0,53.15
10000,1.5,0.35,159.5,46.2,12.0,53.15
150000,1.5,0.35,159.5,46.2,12.0,53.15
75000,1.5,0.35,159.5,46.2,12.0,53.15
50000,2.0,0.4,167.3,46.7,12.2,52.88
30000,2.0,0.4,167.3,46.7,12.2,52.88
150000,2.0,0.4,167.3,46.7,12.2,52.88
10000,2.0,0.4,167.3,46.7,12.2,52.88
75000,2.0,0.4,167.3,46.7,12.2,52.88
20000,2.0,0.4,167.3,46.7,12.2,52.88
100000,2.0,0.4,167.3,46.7,12.2,52.88
30000,1.5,0.3,159.2,46.0,11.8,52.85
100000,1.5,0.3,159.2,46.0,11.8,52.85
75000,1.5,0.3,159.2,46.0,11.8,52.85
150000,1.5,0.3,159.2,46.0,11.8,52.85
50000,1.5,0.3,159.2,46.0,11.8,52.85
10000,1.5,0.3,159.2,46.0,11.8,52.85
20000,1.5,0.3,159.2,46.0,11.8,52.85
30000,2.0,0.35,166.4,46.2,12.1,52.59
10000,2.0,0.35,166.4,46.2,12.1,52.59
50000,2.0,0.35,166.4,46.2,12.1,52.59
100000,2.0,0.35,166.4,46.2,12.1,52.59
20000,2.0,0.35,166.4,46.2,12.1,52.59
150000,2.0,0.35,166.4,46.2,12.1,52.59
75000,2.0,0.35,166.4,46.2,12.1,52.59
30000,1.0,0.4,158.5,46.2,11.2,52.36
10000,1.0,0.4,158.5,46.2,11.2,52.36
20000,1.0,0.4,158.5,46.2,11.2,52.36
50000,1.0,0.4,158.5,46.2,11.2,52.36
75000,1.0,0.4,158.5,46.2,11.2,52.36
150000,1.0,0.4,158.5,46.2,11.2,52.36
100000,1.0,0.4,158.5,46.2,11.2,52.36
20000,2.0,0.3,165.9,45.9,11.8,52.32
10000,2.0,0.3,165.9,45.9,11.8,52.32
100000,2.0,0.3,165.9,45.9,11.8,52.32
150000,2.0,0.3,165.9,45.9,11.8,52.32
50000,2.0,0.3,165.9,45.9,11.8,52.32
30000,2.0,0.3,165.9,45.9,11.8,52.32
75000,2.0,0.3,165.9,45.9,11.8,52.32
10000,0.5,0.4,158.0,45.6,11.2,52.26
100000,0.5,0.4,158.0,45.6,11.2,52.26
20000,0.5,0.4,158.0,45.6,11.2,52.26
50000,0.5,0.4,158.0,45.6,11.2,52.26
150000,0.5,0.4,158.0,45.6,11.2,52.26
30000,0.5,0.4,158.0,45.6,11.2,52.26
75000,0.5,0.4,158.0,45.6,11.2,52.26
20000,0.75,0.4,158.5,45.6,11.2,52.16
30000,0.75,0.4,158.5,45.6,11.2,52.16
100000,0.75,0.4,158.5,45.6,11.2,52.16
10000,0.75,0.4,158.5,45.6,11.2,52.16
150000,0.75,0.4,158.5,45.6,11.2,52.16
75000,0.75,0.4,158.5,45.6,11.2,52.16
50000,0.75,0.4,158.5,45.6,11.2,52.16
150000,2.5,0.4,176.9,46.8,12.2,52.1
30000,1.5,0.25,159.2,46.0,11.1,52.1
100000,1.5,0.25,159.2,46.0,11.1,52.1
50000,2.5,0.4,176.9,46.8,12.2,52.1
100000,2.5,0.4,176.9,46.8,12.2,52.1
50000,1.5,0.25,159.2,46.0,11.1,52.1
20000,2.5,0.4,176.9,46.8,12.2,52.1
20000,1.5,0.25,159.2,46.0,11.1,52.1
10000,2.5,0.4,176.9,46.8,12.2,52.1
75000,2.5,0.4,176.9,46.8,12.2,52.1
30000,2.5,0.4,176.9,46.8,12.2,52.1
75000,1.5,0.25,159.2,46.0,11.1,52.1
150000,1.5,0.25,159.2,46.0,11.1,52.1
10000,1.5,0.25,159.2,46.0,11.1,52.1
100000,1.0,0.35,157.6,45.6,11.0,52.07
50000,1.0,0.35,157.6,45.6,11.0,52.07
20000,1.0,0.35,157.6,45.6,11.0,52.07
10000,1.0,0.35,157.6,45.6,11.0,52.07
150000,1.0,0.35,157.6,45.6,11.0,52.07
30000,1.0,0.35,157.6,45.6,11.0,52.07
75000,1.0,0.35,157.6,45.6,11.0,52.07
100000,0.5,0.35,157.1,45.1,11.0,52.01
30000,0.5,0.35,157.1,45.1,11.0,52.01
20000,0.5,0.35,157.1,45.1,11.0,52.01
75000,0.5,0.35,157.1,45.1,11.0,52.01
150000,0.5,0.35,157.1,45.1,11.0,52.01
10000,0.5,0.35,157.1,45.1,11.0,52.01
50000,0.5,0.35,157.1,45.1,11.0,52.01
75000,0.75,0.35,157.6,45.2,11.0,51.91
30000,0.75,0.35,157.6,45.2,11.0,51.91
50000,0.75,0.35,157.6,45.2,11.0,51.91
150000,0.75,0.35,157.6,45.2,11.0,51.91
10000,0.75,0.35,157.6,45.2,11.0,51.91
20000,0.75,0.35,157.6,45.2,11.0,51.91
100000,0.75,0.35,157.6,45.2,11.0,51.91
75000,1.0,0.3,157.3,45.4,10.8,51.83
100000,1.0,0.3,157.3,45.4,10.8,51.83
20000,1.0,0.3,157.3,45.4,10.8,51.83
30000,1.0,0.3,157.3,45.4,10.8,51.83
150000,1.0,0.3,157.3,45.4,10.8,51.83
10000,1.0,0.3,157.3,45.4,10.8,51.83
50000,1.0,0.3,157.3,45.4,10.8,51.83
100000,2.5,0.35,175.9,46.3,12.0,51.82
20000,2.5,0.35,175.9,46.3,12.0,51.82
150000,2.5,0.35,175.9,46.3,12.0,51.82
50000,2.5,0.35,175.9,46.3,12.0,51.82
10000,2.5,0.35,175.9,46.3,12.0,51.82
30000,2.5,0.35,175.9,46.3,12.0,51.82
75000,2.5,0.35,175.9,46.3,12.0,51.82
50000,0.5,0.3,156.8,45.0,10.8,51.77
30000,0.5,0.3,156.8,45.0,10.8,51.77
10000,0.5,0.3,156.8,45.0,10.8,51.77
150000,0.5,0.3,156.8,45.0,10.8,51.77
75000,0.5,0.3,156.8,45.0,10.8,51.77
20000,0.5,0.3,156.8,45.0,10.8,51.77
100000,0.5,0.3,156.8,45.0,10.8,51.77
75000,0.75,0.3,157.3,45.0,10.8,51.68
30000,0.75,0.3,157.3,45.0,10.8,51.68
100000,0.75,0.3,157.3,45.0,10.8,51.68
50000,0.75,0.3,157.3,45.0,10.8,51.68
20000,0.75,0.3,157.3,45.0,10.8,51.68
10000,0.75,0.3,157.3,45.0,10.8,51.68
150000,0.75,0.3,157.3,45.0,10.8,51.68
75000,2.5,0.3,175.4,46.0,11.8,51.54
150000,2.5,0.3,175.4,46.0,11.8,51.54
50000,2.5,0.3,175.4,46.0,11.8,51.54
10000,2.5,0.3,175.4,46.0,11.8,51.54
20000,2.5,0.3,175.4,46.0,11.8,51.54
30000,2.5,0.3,175.4,46.0,11.8,51.54
100000,2.5,0.3,175.4,46.0,11.8,51.54
150000,2.0,0.25,165.9,45.9,11.0,51.53
50000,2.0,0.25,165.9,45.9,11.0,51.53
10000,2.0,0.25,165.9,45.9,11.0,51.53
30000,2.0,0.25,165.9,45.9,11.0,51.53
100000,2.0,0.25,165.9,45.9,11.0,51.53
75000,2.0,0.25,165.9,45.9,11.0,51.53
20000,2.0,0.25,165.9,45.9,11.0,51.53
100000,1.0,0.25,157.3,45.4,10.3,51.29
10000,1.0,0.25,157.3,45.4,10.3,51.29
50000,1.0,0.25,157.3,45.4,10.3,51.29
30000,1.0,0.25,157.3,45.4,10.3,51.29
20000,1.0,0.25,157.3,45.4,10.3,51.29
150000,1.0,0.25,157.3,45.4,10.3,51.29
75000,1.0,0.25,157.3,45.4,10.3,51.29
100000,0.5,0.25,156.8,44.9,10.3,51.23
50000,0.5,0.25,156.8,44.9,10.3,51.23
30000,0.5,0.25,156.8,44.9,10.3,51.23
150000,0.5,0.25,156.8,44.9,10.3,51.23
75000,0.5,0.25,156.8,44.9,10.3,51.23
10000,0.5,0.25,156.8,44.9,10.3,51.23
20000,0.5,0.25,156.8,44.9,10.3,51.23
150000,0.75,0.25,157.3,45.0,10.2,51.13
10000,0.75,0.25,157.3,45.0,10.2,51.13
75000,0.75,0.25,157.3,45.0,10.2,51.13
50000,0.75,0.25,157.3,45.0,10.2,51.13
30000,0.75,0.25,157.3,45.0,10.2,51.13
100000,0.75,0.25,157.3,45.0,10.2,51.13
20000,0.75,0.25,157.3,45.0,10.2,51.13
30000,1.5,0.15,166.6,50.7,9.1,50.97
10000,1.5,0.15,166.6,50.7,9.1,50.97
75000,1.5,0.15,166.6,50.7,9.1,50.97
50000,1.5,0.15,166.6,50.7,9.1,50.97
100000,1.5,0.15,166.6,50.7,9.1,50.97
20000,1.5,0.15,166.6,50.7,9.1,50.97
150000,1.5,0.15,166.6,50.7,9.1,50.97
75000,1.5,0.2,159.7,46.4,9.7,50.81
30000,1.5,0.2,159.7,46.4,9.7,50.81
50000,1.5,0.2,159.7,46.4,9.7,50.81
150000,1.5,0.2,159.7,46.4,9.7,50.81
20000,1.5,0.2,159.7,46.4,9.7,50.81
100000,1.5,0.2,159.7,46.4,9.7,50.81
10000,1.5,0.2,159.7,46.4,9.7,50.81
10000,3.0,0.4,193.4,46.4,12.3,50.76
30000,3.0,0.4,193.4,46.4,12.3,50.76
75000,3.0,0.4,193.4,46.4,12.3,50.76
50000,3.0,0.4,193.4,46.4,12.3,50.76
100000,3.0,0.4,193.4,46.4,12.3,50.76
150000,3.0,0.4,193.4,46.4,12.3,50.76
20000,3.0,0.4,193.4,46.4,12.3,50.76
150000,2.5,0.25,175.4,46.0,11.0,50.74
30000,2.5,0.25,175.4,46.0,11.0,50.74
50000,2.5,0.25,175.4,46.0,11.0,50.74
10000,2.5,0.25,175.4,46.0,11.0,50.74
20000,2.5,0.25,175.4,46.0,11.0,50.74
75000,2.5,0.25,175.4,46.0,11.0,50.74
100000,2.5,0.25,175.4,46.0,11.0,50.74
75000,4.0,0.4,192.8,46.2,12.2,50.67
100000,4.0,0.4,192.8,46.2,12.2,50.67
50000,4.0,0.4,192.8,46.2,12.2,50.67
150000,4.0,0.4,192.8,46.2,12.2,50.67
20000,4.0,0.4,192.8,46.2,12.2,50.67
10000,4.0,0.4,192.8,46.2,12.2,50.67
30000,4.0,0.4,192.8,46.2,12.2,50.67
20000,3.0,0.35,192.4,45.8,12.1,50.48
150000,3.0,0.35,192.4,45.8,12.1,50.48
75000,3.0,0.35,192.4,45.8,12.1,50.48
50000,3.0,0.35,192.4,45.8,12.1,50.48
100000,3.0,0.35,192.4,45.8,12.1,50.48
30000,3.0,0.35,192.4,45.8,12.1,50.48
10000,3.0,0.35,192.4,45.8,12.1,50.48
50000,1.0,0.15,164.8,50.5,8.5,50.44
100000,1.0,0.15,164.8,50.5,8.5,50.44
10000,1.0,0.15,164.8,50.5,8.5,50.44
20000,1.0,0.15,164.8,50.5,8.5,50.44
150000,1.0,0.15,164.8,50.5,8.5,50.44
75000,1.0,0.15,164.8,50.5,8.5,50.44
30000,1.0,0.15,164.8,50.5,8.5,50.44
150000,4.0,0.35,191.8,45.6,12.0,50.39
75000,4.0,0.35,191.8,45.6,12.0,50.39
20000,4.0,0.35,191.8,45.6,12.0,50.39
100000,4.0,0.35,191.8,45.6,12.0,50.39
10000,4.0,0.35,191.8,45.6,12.0,50.39
50000,4.0,0.35,191.8,45.6,12.0,50.39
30000,4.0,0.35,191.8,45.6,12.0,50.39
150000,2.0,0.15,172.5,50.5,9.0,50.33
20000,2.0,0.15,172.5,50.5,9.0,50.33
75000,2.0,0.15,172.5,50.5,9.0,50.33
30000,2.0,0.15,172.5,50.5,9.0,50.33
50000,2.0,0.15,172.5,50.5,9.0,50.33
10000,2.0,0.15,172.5,50.5,9.0,50.33
100000,2.0,0.15,172.5,50.5,9.0,50.33
20000,0.5,0.15,164.4,49.7,8.5,50.29
100000,0.5,0.15,164.4,49.7,8.5,50.29
30000,0.5,0.15,164.4,49.7,8.5,50.29
150000,0.5,0.15,164.4,49.7,8.5,50.29
50000,0.5,0.15,164.4,49.7,8.5,50.29
75000,0.5,0.15,164.4,49.7,8.5,50.29
10000,0.5,0.15,164.4,49.7,8.5,50.29
100000,2.0,0.2,166.3,46.4,9.6,50.25
75000,2.0,0.2,166.3,46.4,9.6,50.25
50000,2.0,0.2,166.3,46.4,9.6,50.25
20000,2.0,0.2,166.3,46.4,9.6,50.25
30000,2.0,0.2,166.3,46.4,9.6,50.25
150000,2.0,0.2,166.3,46.4,9.6,50.25
10000,2.0,0.2,166.3,46.4,9.6,50.25
150000,0.75,0.15,164.8,49.9,8.5,50.23
75000,1.0,0.2,157.7,45.8,9.1,50.23
30000,1.0,0.2,157.7,45.8,9.1,50.23
75000,0.75,0.15,164.8,49.9,8.5,50.23
30000,0.75,0.15,164.8,49.9,8.5,50.23
10000,0.75,0.15,164.8,49.9,8.5,50.23
10000,1.0,0.2,157.7,45.8,9.1,50.23
20000,0.75,0.15,164.8,49.9,8.5,50.23
20000,1.0,0.2,157.7,45.8,9.1,50.23
