# PLGA Optimization Results
# Drug: tramadol
# Priority: balanced
# Min EE: 50.0%
# Max Size: 250.0 nm
# Date: 2026-04-06 09:43:08
# Total formulations evaluated: 119
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,1.5,0.15,166.6,50.7,9.1,50.97
20000,1.5,0.15,166.6,50.7,9.1,50.97
75000,1.5,0.15,166.6,50.7,9.1,50.97
100000,1.5,0.15,166.6,50.7,9.1,50.97
10000,1.5,0.15,166.6,50.7,9.1,50.97
150000,1.5,0.15,166.6,50.7,9.1,50.97
30000,1.5,0.15,166.6,50.7,9.1,50.97
10000,1.0,0.15,164.8,50.5,8.5,50.44
50000,1.0,0.15,164.8,50.5,8.5,50.44
30000,1.0,0.15,164.8,50.5,8.5,50.44
150000,1.0,0.15,164.8,50.5,8.5,50.44
75000,1.0,0.15,164.8,50.5,8.5,50.44
20000,1.0,0.15,164.8,50.5,8.5,50.44
100000,1.0,0.15,164.8,50.5,8.5,50.44
50000,2.0,0.15,172.5,50.5,9.0,50.33
20000,2.0,0.15,172.5,50.5,9.0,50.33
30000,2.0,0.15,172.5,50.5,9.0,50.33
75000,2.0,0.15,172.5,50.5,9.0,50.33
100000,2.0,0.15,172.5,50.5,9.0,50.33
150000,2.0,0.15,172.5,50.5,9.0,50.33
10000,2.0,0.15,172.5,50.5,9.0,50.33
50000,1.5,0.1,169.2,52.8,7.8,50.07
100000,1.5,0.1,169.2,52.8,7.8,50.07
30000,1.5,0.1,169.2,52.8,7.8,50.07
75000,1.5,0.1,169.2,52.8,7.8,50.07
20000,1.5,0.1,169.2,52.8,7.8,50.07
150000,1.5,0.1,169.2,52.8,7.8,50.07
10000,1.5,0.1,169.2,52.8,7.8,50.07
150000,1.0,0.1,167.4,53.1,7.2,49.75
10000,1.0,0.1,167.4,53.1,7.2,49.75
50000,1.0,0.1,167.4,53.1,7.2,49.75
30000,1.0,0.1,167.4,53.1,7.2,49.75
100000,1.0,0.1,167.4,53.1,7.2,49.75
75000,1.0,0.1,167.4,53.1,7.2,49.75
20000,1.0,0.1,167.4,53.1,7.2,49.75
75000,0.5,0.1,166.9,52.1,7.3,49.6
50000,0.5,0.1,166.9,52.1,7.3,49.6
150000,0.5,0.1,166.9,52.1,7.3,49.6
100000,0.5,0.1,166.9,52.1,7.3,49.6
10000,0.5,0.1,166.9,52.1,7.3,49.6
30000,0.5,0.1,166.9,52.1,7.3,49.6
20000,0.5,0.1,166.9,52.1,7.3,49.6
20000,2.5,0.15,181.3,50.4,9.0,49.58
100000,2.5,0.15,181.3,50.4,9.0,49.58
150000,2.5,0.15,181.3,50.4,9.0,49.58
10000,2.5,0.15,181.3,50.4,9.0,49.58
75000,2.5,0.15,181.3,50.4,9.0,49.58
30000,2.5,0.15,181.3,50.4,9.0,49.58
50000,2.5,0.15,181.3,50.4,9.0,49.58
150000,0.75,0.1,167.4,52.3,7.2,49.51
50000,0.75,0.1,167.4,52.3,7.2,49.51
20000,0.75,0.1,167.4,52.3,7.2,49.51
10000,0.75,0.1,167.4,52.3,7.2,49.51
75000,0.75,0.1,167.4,52.3,7.2,49.51
30000,0.75,0.1,167.4,52.3,7.2,49.51
100000,0.75,0.1,167.4,52.3,7.2,49.51
100000,2.0,0.1,175.0,52.7,7.7,49.47
20000,2.0,0.1,175.0,52.7,7.7,49.47
50000,2.0,0.1,175.0,52.7,7.7,49.47
75000,2.0,0.1,175.0,52.7,7.7,49.47
10000,2.0,0.1,175.0,52.7,7.7,49.47
150000,2.0,0.1,175.0,52.7,7.7,49.47
30000,2.0,0.1,175.0,52.7,7.7,49.47
10000,2.5,0.1,183.8,52.6,7.6,48.72
20000,2.5,0.1,183.8,52.6,7.6,48.72
50000,2.5,0.1,183.8,52.6,7.6,48.72
30000,2.5,0.1,183.8,52.6,7.6,48.72
150000,2.5,0.1,183.8,52.6,7.6,48.72
