# PLGA Optimization Results
# Drug: tretinoin
# Priority: balanced
# Min EE: 30%
# Max Size: 500 nm
# Date: 2026-04-04 03:44:03
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,0.75,0.4,174.6,73.8,21.4,69.53
30000,0.75,0.4,174.6,73.8,21.4,69.53
150000,0.75,0.4,174.6,73.8,21.4,69.53
75000,0.75,0.4,174.6,73.8,21.4,69.53
20000,0.75,0.4,174.6,73.8,21.4,69.53
10000,0.75,0.4,174.6,73.8,21.4,69.53
100000,0.75,0.4,174.6,73.8,21.4,69.53
100000,1.0,0.4,174.7,73.8,21.4,69.52
30000,1.0,0.4,174.7,73.8,21.4,69.52
50000,1.0,0.4,174.7,73.8,21.4,69.52
10000,1.0,0.4,174.7,73.8,21.4,69.52
20000,1.0,0.4,174.7,73.8,21.4,69.52
75000,1.0,0.4,174.7,73.8,21.4,69.52
150000,1.0,0.4,174.7,73.8,21.4,69.52
30000,0.5,0.4,174.9,73.8,21.4,69.51
10000,0.5,0.4,174.9,73.8,21.4,69.51
50000,0.5,0.4,174.9,73.8,21.4,69.51
50000,2.0,0.4,176.8,74.1,21.4,69.51
100000,0.5,0.4,174.9,73.8,21.4,69.51
20000,2.0,0.4,176.8,74.1,21.4,69.51
75000,0.5,0.4,174.9,73.8,21.4,69.51
20000,0.5,0.4,174.9,73.8,21.4,69.51
30000,2.0,0.4,176.8,74.1,21.4,69.51
150000,0.5,0.4,174.9,73.8,21.4,69.51
10000,2.0,0.4,176.8,74.1,21.4,69.51
75000,2.0,0.4,176.8,74.1,21.4,69.51
150000,2.0,0.4,176.8,74.1,21.4,69.51
100000,2.0,0.4,176.8,74.1,21.4,69.51
20000,1.5,0.4,176.8,73.9,21.4,69.45
10000,1.5,0.4,176.8,73.9,21.4,69.45
30000,1.5,0.4,176.8,73.9,21.4,69.44
150000,1.5,0.4,176.8,73.9,21.4,69.44
100000,1.5,0.4,176.8,73.9,21.4,69.44
50000,1.5,0.4,176.8,73.9,21.4,69.44
75000,1.5,0.4,176.8,73.9,21.4,69.44
10000,2.5,0.4,183.1,74.4,21.7,69.34
20000,2.5,0.4,183.1,74.4,21.7,69.34
150000,2.5,0.4,183.1,74.4,21.7,69.33
30000,2.5,0.4,183.1,74.4,21.7,69.33
75000,2.5,0.4,183.1,74.4,21.7,69.33
100000,2.5,0.4,183.1,74.4,21.7,69.33
50000,2.5,0.4,183.1,74.4,21.7,69.33
20000,3.0,0.4,211.1,74.4,21.7,67.09
150000,3.0,0.4,211.1,74.4,21.7,67.09
50000,3.0,0.4,211.1,74.4,21.7,67.09
20000,4.0,0.4,211.1,74.4,21.7,67.09
30000,3.0,0.4,211.1,74.4,21.7,67.09
30000,4.0,0.4,211.1,74.4,21.7,67.09
10000,3.0,0.4,211.1,74.4,21.7,67.09
50000,4.0,0.4,211.1,74.4,21.7,67.09
75000,3.0,0.4,211.1,74.4,21.7,67.09
75000,4.0,0.4,211.1,74.4,21.7,67.09
100000,3.0,0.4,211.1,74.4,21.7,67.09
100000,4.0,0.4,211.1,74.4,21.7,67.09
10000,4.0,0.4,211.1,74.4,21.7,67.09
150000,4.0,0.4,211.1,74.4,21.7,67.09
20000,0.75,0.35,175.2,71.1,15.8,63.11
50000,0.75,0.35,175.2,71.1,15.8,63.11
10000,0.75,0.35,175.2,71.1,15.8,63.11
150000,0.75,0.35,175.2,71.1,15.8,63.11
30000,0.75,0.35,175.2,71.1,15.8,63.11
100000,0.75,0.35,175.2,71.1,15.8,63.11
75000,0.75,0.35,175.2,71.1,15.8,63.11
20000,0.5,0.35,175.6,71.1,15.8,63.08
100000,0.5,0.35,175.6,71.1,15.8,63.08
75000,0.5,0.35,175.6,71.1,15.8,63.08
10000,0.5,0.35,175.6,71.1,15.8,63.08
50000,0.5,0.35,175.6,71.1,15.8,63.08
30000,0.5,0.35,175.6,71.1,15.8,63.08
150000,0.5,0.35,175.6,71.1,15.8,63.08
100000,1.0,0.35,175.3,71.1,15.6,62.92
10000,1.0,0.35,175.3,71.1,15.6,62.92
50000,1.0,0.35,175.3,71.1,15.6,62.92
75000,1.0,0.35,175.3,71.1,15.6,62.92
150000,1.0,0.35,175.3,71.1,15.6,62.92
30000,1.0,0.35,175.3,71.1,15.6,62.92
20000,1.0,0.35,175.3,71.1,15.6,62.92
50000,2.0,0.35,177.2,71.4,15.6,62.86
150000,2.0,0.35,177.2,71.4,15.6,62.86
20000,2.0,0.35,177.2,71.4,15.6,62.86
100000,2.0,0.35,177.2,71.4,15.6,62.86
10000,2.0,0.35,177.2,71.4,15.6,62.86
30000,2.0,0.35,177.2,71.4,15.6,62.86
75000,2.0,0.35,177.2,71.4,15.6,62.86
100000,1.5,0.35,177.2,71.1,15.6,62.79
10000,1.5,0.35,177.2,71.1,15.6,62.79
50000,1.5,0.35,177.2,71.1,15.6,62.79
30000,1.5,0.35,177.2,71.1,15.6,62.79
75000,1.5,0.35,177.2,71.1,15.6,62.79
150000,1.5,0.35,177.2,71.1,15.6,62.79
20000,1.5,0.35,177.2,71.1,15.6,62.79
20000,2.5,0.35,182.4,71.7,15.8,62.74
10000,2.5,0.35,182.4,71.7,15.8,62.74
50000,2.5,0.35,182.4,71.7,15.8,62.74
75000,2.5,0.35,182.4,71.7,15.8,62.74
100000,2.5,0.35,182.4,71.7,15.8,62.74
150000,2.5,0.35,182.4,71.7,15.8,62.74
30000,2.5,0.35,182.4,71.7,15.8,62.74
50000,0.75,0.3,175.0,69.6,15.4,62.33
100000,0.75,0.3,175.0,69.6,15.4,62.33
10000,0.75,0.3,175.0,69.6,15.4,62.33
20000,0.75,0.3,175.0,69.6,15.4,62.33
30000,0.75,0.3,175.0,69.6,15.4,62.33
75000,0.75,0.3,175.0,69.6,15.4,62.33
150000,0.75,0.3,175.0,69.6,15.4,62.33
20000,0.5,0.3,175.3,69.6,15.4,62.3
10000,0.5,0.3,175.3,69.6,15.4,62.3
30000,0.5,0.3,175.3,69.6,15.4,62.3
150000,0.5,0.3,175.3,69.6,15.4,62.3
50000,0.5,0.3,175.3,69.6,15.4,62.3
100000,0.5,0.3,175.3,69.6,15.4,62.3
75000,0.5,0.3,175.3,69.6,15.4,62.3
30000,1.0,0.3,175.1,69.6,15.3,62.14
50000,1.0,0.3,175.1,69.6,15.3,62.14
10000,1.0,0.3,175.1,69.6,15.3,62.14
20000,1.0,0.3,175.1,69.6,15.3,62.14
150000,1.0,0.3,175.1,69.6,15.3,62.14
100000,1.0,0.3,175.1,69.6,15.3,62.14
75000,1.0,0.3,175.1,69.6,15.3,62.14
10000,2.0,0.3,176.7,69.8,15.3,62.06
20000,2.0,0.3,176.7,69.8,15.3,62.06
