# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
100,0.5,0.3,202.1,70.2,11.1,59.57
50,0.5,0.3,202.1,70.2,11.1,59.57
30,0.5,0.3,202.1,70.2,11.1,59.57
75,0.5,0.3,202.1,70.2,11.1,59.57
10,0.5,0.3,202.1,70.2,11.1,59.57
20,0.5,0.3,202.1,70.2,11.1,59.57
150,0.5,0.3,202.1,70.2,11.1,59.57
75,0.5,0.25,202.3,70.1,10.4,59.55
20,0.5,0.25,202.3,70.1,10.4,59.55
100,0.5,0.25,202.3,70.1,10.4,59.55
150,0.5,0.25,202.3,70.1,10.4,59.55
30,0.5,0.25,202.3,70.1,10.4,59.55
50,0.5,0.25,202.3,70.1,10.4,59.55
10,0.5,0.25,202.3,70.1,10.4,59.55
150,0.5,0.35,202.6,70.5,11.6,59.48
100,0.5,0.35,202.6,70.5,11.6,59.48
10,0.5,0.35,202.6,70.5,11.6,59.48
30,0.5,0.35,202.6,70.5,11.6,59.48
20,0.5,0.35,202.6,70.5,11.6,59.48
50,0.5,0.35,202.6,70.5,11.6,59.48
75,0.5,0.35,202.6,70.5,11.6,59.48
75,0.5,0.2,202.9,70.1,9.1,59.41
100,0.5,0.2,202.9,70.1,9.1,59.41
30,0.5,0.2,202.9,70.1,9.1,59.41
50,0.5,0.2,202.9,70.1,9.1,59.41
10,0.5,0.2,202.9,70.1,9.1,59.41
20,0.5,0.2,202.9,70.1,9.1,59.41
150,0.5,0.2,202.9,70.1,9.1,59.41
50,0.5,0.4,203.4,70.0,12.0,59.31
20,0.5,0.4,203.4,70.0,12.0,59.31
100,0.5,0.4,203.4,70.0,12.0,59.31
150,0.5,0.4,203.4,70.0,12.0,59.31
10,0.5,0.4,203.4,70.0,12.0,59.31
30,0.5,0.4,203.4,70.0,12.0,59.31
75,0.5,0.4,203.4,70.0,12.0,59.31
75,0.5,0.15,205.1,70.9,8.5,58.99
10,0.5,0.15,205.1,70.9,8.5,58.99
30,0.5,0.15,205.1,70.9,8.5,58.99
50,0.5,0.15,205.1,70.9,8.5,58.99
20,0.5,0.15,205.1,70.9,8.5,58.99
100,0.5,0.15,205.1,70.9,8.5,58.99
150,0.5,0.15,205.1,70.9,8.5,58.99
20,0.5,0.1,206.1,70.8,7.6,58.78
100,0.5,0.1,206.1,70.8,7.6,58.78
75,0.5,0.1,206.1,70.8,7.6,58.78
50,0.5,0.1,206.1,70.8,7.6,58.78
150,0.5,0.1,206.1,70.8,7.6,58.78
30,0.5,0.1,206.1,70.8,7.6,58.78
10,0.5,0.1,206.1,70.8,7.6,58.78
150,1.0,0.3,209.2,70.6,11.1,58.16
20,1.0,0.3,209.2,70.6,11.1,58.16
100,1.0,0.3,209.2,70.6,11.1,58.16
30,1.0,0.3,209.2,70.6,11.1,58.16
75,1.0,0.3,209.2,70.6,11.1,58.16
10,1.0,0.3,209.2,70.6,11.1,58.16
50,1.0,0.3,209.2,70.6,11.1,58.16
150,0.75,0.3,209.5,70.2,11.2,58.1
100,0.75,0.3,209.5,70.2,11.2,58.1
30,0.75,0.3,209.5,70.2,11.2,58.1
50,0.75,0.3,209.5,70.2,11.2,58.1
20,0.75,0.3,209.5,70.2,11.2,58.1
10,0.75,0.3,209.5,70.2,11.2,58.1
75,0.75,0.3,209.5,70.2,11.2,58.1
75,1.0,0.35,209.6,70.9,11.6,58.08
150,1.0,0.35,209.6,70.9,11.6,58.08
20,1.0,0.35,209.6,70.9,11.6,58.08
100,1.0,0.35,209.6,70.9,11.6,58.08
30,1.0,0.35,209.6,70.9,11.6,58.08
10,1.0,0.35,209.6,70.9,11.6,58.08
50,1.0,0.35,209.6,70.9,11.6,58.08
150,0.75,0.35,210.0,70.5,11.7,58.01
30,0.75,0.35,210.0,70.5,11.7,58.01
75,0.75,0.35,210.0,70.5,11.7,58.01
