# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150000,1.5,0.4,178.4,42.6,9.7,48.23
100000,1.5,0.4,178.4,42.6,9.7,48.23
10000,1.5,0.4,178.4,42.6,9.7,48.23
20000,1.5,0.4,178.4,42.6,9.7,48.23
50000,1.5,0.4,178.4,42.6,9.7,48.23
30000,1.5,0.4,178.4,42.6,9.7,48.23
75000,1.5,0.4,178.4,42.6,9.7,48.23
30000,2.0,0.4,181.4,42.1,9.8,47.88
150000,2.0,0.4,181.4,42.1,9.8,47.88
10000,2.0,0.4,181.4,42.1,9.8,47.88
20000,2.0,0.4,181.4,42.1,9.8,47.88
50000,2.0,0.4,181.4,42.1,9.8,47.88
100000,2.0,0.4,181.4,42.1,9.8,47.88
75000,2.0,0.4,181.4,42.1,9.8,47.88
75000,1.5,0.35,178.3,42.8,9.3,47.87
30000,1.5,0.35,178.3,42.8,9.3,47.87
10000,1.5,0.35,178.3,42.8,9.3,47.87
150000,1.5,0.35,178.3,42.8,9.3,47.87
100000,1.5,0.35,178.3,42.8,9.3,47.87
20000,1.5,0.35,178.3,42.8,9.3,47.87
50000,1.5,0.35,178.3,42.8,9.3,47.87
30000,2.5,0.4,184.5,42.6,9.8,47.83
75000,2.5,0.4,184.5,42.6,9.8,47.83
150000,2.5,0.4,184.5,42.6,9.8,47.83
50000,2.5,0.4,184.5,42.6,9.8,47.83
10000,2.5,0.4,184.5,42.6,9.8,47.83
100000,2.5,0.4,184.5,42.6,9.8,47.83
20000,2.5,0.4,184.5,42.6,9.8,47.83
10000,1.5,0.3,177.1,42.6,9.1,47.68
50000,1.5,0.3,177.1,42.6,9.1,47.68
75000,1.5,0.3,177.1,42.6,9.1,47.68
30000,1.5,0.3,177.1,42.6,9.1,47.68
150000,1.5,0.3,177.1,42.6,9.1,47.68
