# PLGA Optimization Results
# Drug: xanthone
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:58:16
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150,1.0,0.3,175.0,42.6,8.3,65.0
150,1.0,0.25,175.0,42.7,7.5,65.0
30,1.0,0.3,175.0,42.6,8.3,65.0
30,1.0,0.25,175.0,42.7,7.5,65.0
100,1.0,0.25,175.0,42.7,7.5,65.0
10,1.0,0.3,175.0,42.6,8.3,65.0
10,1.0,0.25,175.0,42.7,7.5,65.0
20,1.0,0.25,175.0,42.7,7.5,65.0
20,1.0,0.3,175.0,42.6,8.3,65.0
100,1.0,0.3,175.0,42.6,8.3,65.0
50,1.0,0.25,175.0,42.7,7.5,65.0
75,1.0,0.25,175.0,42.7,7.5,65.0
75,1.0,0.3,175.0,42.6,8.3,65.0
50,1.0,0.3,175.0,42.6,8.3,65.0
50,0.75,0.25,175.1,42.1,7.5,64.98
30,0.75,0.25,175.1,42.1,7.5,64.98
75,0.75,0.25,175.1,42.1,7.5,64.98
100,0.75,0.25,175.1,42.1,7.5,64.98
20,0.75,0.25,175.1,42.1,7.5,64.98
150,0.75,0.25,175.1,42.1,7.5,64.98
10,0.75,0.25,175.1,42.1,7.5,64.98
50,0.75,0.3,175.1,42.0,8.3,64.97
10,0.75,0.3,175.1,42.0,8.3,64.97
150,0.75,0.3,175.1,42.0,8.3,64.97
100,0.75,0.3,175.1,42.0,8.3,64.97
30,0.75,0.3,175.1,42.0,8.3,64.97
20,0.75,0.3,175.1,42.0,8.3,64.97
75,0.75,0.3,175.1,42.0,8.3,64.97
10,0.5,0.25,175.8,42.4,7.6,64.85
30,0.5,0.25,175.8,42.4,7.6,64.85
100,0.5,0.25,175.8,42.4,7.6,64.85
50,0.5,0.25,175.8,42.4,7.6,64.85
20,0.5,0.25,175.8,42.4,7.6,64.85
75,0.5,0.25,175.8,42.4,7.6,64.85
150,0.5,0.25,175.8,42.4,7.6,64.85
150,0.5,0.3,175.8,42.3,8.3,64.84
20,0.5,0.3,175.8,42.3,8.3,64.84
75,0.5,0.3,175.8,42.3,8.3,64.84
100,0.5,0.3,175.8,42.3,8.3,64.84
50,0.5,0.3,175.8,42.3,8.3,64.84
30,0.5,0.3,175.8,42.3,8.3,64.84
10,0.5,0.3,175.8,42.3,8.3,64.84
100,1.0,0.35,176.2,42.7,8.5,64.75
30,1.0,0.2,176.2,43.2,6.5,64.75
150,1.0,0.2,176.2,43.2,6.5,64.75
20,1.0,0.2,176.2,43.2,6.5,64.75
30,1.0,0.35,176.2,42.7,8.5,64.75
75,1.0,0.2,176.2,43.2,6.5,64.75
20,1.0,0.35,176.2,42.7,8.5,64.75
150,1.0,0.35,176.2,42.7,8.5,64.75
100,1.0,0.2,176.2,43.2,6.5,64.75
75,1.0,0.35,176.2,42.7,8.5,64.75
50,1.0,0.35,176.2,42.7,8.5,64.75
50,1.0,0.2,176.2,43.2,6.5,64.75
10,1.0,0.35,176.2,42.7,8.5,64.75
10,1.0,0.2,176.2,43.2,6.5,64.75
50,0.75,0.35,176.4,42.1,8.5,64.73
20,0.75,0.2,176.3,42.6,6.5,64.73
20,0.75,0.35,176.4,42.1,8.5,64.73
150,0.75,0.2,176.3,42.6,6.5,64.73
10,0.75,0.35,176.4,42.1,8.5,64.73
20,1.0,0.4,176.4,42.5,8.9,64.73
30,0.75,0.2,176.3,42.6,6.5,64.73
150,0.75,0.35,176.4,42.1,8.5,64.73
10,0.75,0.2,176.3,42.6,6.5,64.73
150,1.0,0.4,176.4,42.5,8.9,64.73
50,1.0,0.4,176.4,42.5,8.9,64.73
50,0.75,0.2,176.3,42.6,6.5,64.73
75,1.0,0.4,176.4,42.5,8.9,64.73
